Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt
2,3,254,3,1,1,1,2,2,2,1,2,0,41326,0,4
1,4,307,1,7,2,2,1,1,2,1,1,0,41326,0,3
2,4,292,2,2,2,1,2,2,2,1,1,100,41401,0,5
2,1,266,3,2,2,1,2,1,2,1,3,0,41401,0,7
1,1,307,2,1,2,1,2,2,2,1,1,0,41326,0,5
1,1,218,2,1,2,2,1,3,2,1,1,0,41326,0,3
1,1,307,2,2,2,2,1,1,2,1,1,0,41326,0,1
2,1,266,3,1,2,1,2,2,2,1,6,100,41401,0,3
2,3,264,3,6,3,3,1,1,2,1,2,0,41326,0,6
2,5,266,2,2,2,1,1,1,1,1,1,0,41326,0,5
1,1,307,2,1,2,1,2,2,2,1,1,0,41332,0,1
2,12,299,1,3,3,1,1,1,1,1,1,50,41401,0,4
2,6,266,2,3,3,1,1,1,2,1,1,0,41401,0,3
2,3,266,2,2,2,2,3,3,3,1,1,0,41401,0,4
1,12,173,2,1,2,1,1,1,2,1,1,0,41326,0,5
2,6,254,2,2,2,1,2,2,1,1,1,0,41336,0,3
1,2,307,2,5,2,1,2,1,2,1,1,0,41401,0,2
1,2,141,1,2,2,1,1,3,2,1,1,0,41326,0,6
1,3,307,2,2,2,1,1,1,2,1,1,0,41326,0,3
2,8,247,1,3,2,2,3,3,3,1,1,0,41326,0,1
2,4,264,3,1,2,2,3,3,3,2,8,0,41326,0,5
1,2,307,1,1,1,1,3,3,3,1,1,0,41326,0,5
2,2,266,3,3,2,1,2,1,2,1,2,0,41326,0,4
1,23,307,2,2,3,2,1,1,1,1,1,0,41326,0,2
1,2,307,2,1,2,2,2,1,2,1,1,100,41326,0,3
2,6,266,1,7,1,1,1,1,2,1,1,0,41327,0,2
1,1,307,1,1,1,1,2,2,3,1,1,0,41401,0,5
2,60,285,2,5,2,3,1,1,2,1,1,100,41326,0,3
1,2,307,1,3,2,1,1,1,2,1,1,0,41326,0,1
1,1,307,2,7,3,1,2,1,2,1,3,50,41332,0,4
1,2,307,1,1,2,1,2,1,2,1,1,0,41326,0,3
1,1,307,3,1,2,1,3,3,3,1,11,0,41336,0,1
1,2,44,1,1,2,1,3,3,2,1,1,0,41326,0,2
1,2,307,1,2,2,2,1,1,2,1,1,0,41326,0,4
1,1,307,2,2,1,1,2,2,3,1,3,0,41336,0,2
2,1,243,3,6,2,2,2,2,2,1,2,0,41326,0,4
2,3,265,1,3,1,2,2,2,2,1,1,0,41326,0,3
2,12,266,2,1,2,1,2,2,2,2,2,0,41326,0,5
2,3,266,1,6,1,1,1,1,1,1,1,50,41326,0,8
1,2,307,1,1,2,1,2,1,2,1,1,0,41401,0,2
2,2,265,1,6,1,2,3,3,3,1,2,0,41326,0,1
2,2,266,1,1,1,1,2,1,2,2,1,0,41336,0,2
2,2,266,2,1,2,1,2,2,2,1,1,0,41326,0,8
2,8,266,1,7,2,1,1,1,3,1,1,0,41401,0,3
1,9,119,2,1,2,2,1,1,1,1,1,200,41336,0,14
1,12,169,2,1,1,2,3,1,1,1,1,0,41326,0,1
2,48,243,1,2,1,1,1,1,1,1,1,0,41326,0,2
2,3,265,2,3,2,2,2,2,2,1,1,50,41401,0,0
1,1,307,1,1,1,1,2,1,2,1,1,0,41401,0,3
1,3,307,2,1,2,2,1,1,2,1,1,0,41326,0,5
2,2,266,2,1,1,1,2,2,2,1,4,0,41326,0,3
1,96,205,2,5,2,2,1,1,1,1,1,0,41326,0,2
1,3,307,2,1,2,2,1,1,2,1,2,0,41326,0,10
2,1,266,2,1,1,1,2,2,2,1,4,0,41401,0,2
1,2,195,1,1,1,2,2,1,2,1,1,450,41326,0,3
1,2,307,1,2,1,1,3,3,3,1,1,0,41326,0,1
2,12,266,1,6,2,1,1,1,1,1,1,0,41326,0,5
2,6,266,2,6,2,1,2,2,2,1,1,20,41361,0,1
1,3,218,2,1,3,2,1,1,2,1,1,0,41326,0,9
1,3,307,1,1,2,1,1,1,2,1,1,0,41324,0,5
2,3,306,2,1,1,3,3,3,2,1,1,0,41326,0,6
1,2,307,1,1,2,2,2,2,2,1,1,0,41326,0,3
1,7,307,1,5,2,1,1,1,1,1,1,0,41326,1,1
1,5,307,2,1,2,1,1,2,2,1,1,0,41332,0,4
2,8,266,2,2,2,1,1,1,1,1,1,0,41401,0,1
2,0,265,3,1,2,2,1,1,1,1,3,0,41325,0,3
1,2,307,2,2,2,1,1,2,2,1,1,0,41401,0,1
1,1,307,1,1,2,1,2,1,2,1,1,0,41401,0,23
1,4,307,1,2,2,1,1,1,1,1,1,0,41326,0,1
1,24,307,2,3,2,1,1,1,1,1,1,0,41401,0,3
2,12,266,1,1,2,2,1,1,2,1,1,0,41326,0,1
1,2,307,1,2,2,2,1,1,2,1,1,0,41326,0,2
1,60,147,1,7,1,3,1,1,1,1,1,0,41401,0,5
2,12,265,2,1,2,2,1,1,2,1,1,0,41326,0,2
2,2,266,2,2,2,1,2,2,2,1,1,0,41326,0,4
2,3,265,2,1,2,2,1,1,2,1,1,0,41401,0,8
1,24,207,1,1,2,2,2,1,1,1,1,0,41330,0,1
2,1,265,1,4,1,2,2,2,1,1,1,0,41326,1,2
1,4,307,1,1,2,1,1,1,3,1,1,0,41401,0,3
1,1,307,2,1,2,2,2,1,2,1,1,0,41330,1,6
2,18,266,3,7,2,1,2,2,2,1,5,0,41335,0,1
2,2,266,1,1,2,1,2,2,2,1,1,0,41326,0,2
1,2,307,1,2,2,1,1,1,1,1,1,0,41326,0,1
2,1,266,2,1,2,1,1,1,2,1,1,0,41401,0,3
1,3,307,1,7,2,1,2,2,2,1,1,0,41326,0,1
1,72,20,2,2,2,1,3,3,3,1,1,0,41401,0,1
2,4,266,1,4,2,1,2,2,2,1,1,0,41401,0,3
2,4,266,2,1,1,1,2,2,2,1,2,0,41326,0,7
2,2,254,1,1,2,1,2,1,2,1,1,0,41326,1,2
2,12,266,1,5,1,1,3,1,1,1,1,0,41401,0,5
2,12,266,3,1,2,1,1,1,1,1,2,10,41401,0,3
2,2,266,2,2,1,1,2,2,2,1,1,0,41401,0,5
2,2,292,2,6,1,1,2,2,2,1,1,0,41401,0,4
1,1,307,3,1,2,2,2,2,2,1,7,0,41326,0,1
2,6,289,1,6,2,1,3,3,2,1,1,0,41326,0,3
1,1,307,1,1,2,1,2,3,3,1,1,0,41327,0,1
2,12,266,2,2,2,1,3,3,3,1,1,0,41401,0,5
1,1,307,2,3,2,1,2,2,2,1,1,20,41326,0,4
2,6,266,2,1,2,2,2,2,2,1,1,0,41326,0,2
1,1,307,1,3,2,1,2,2,2,1,1,0,41326,0,1
2,3,266,2,6,1,1,2,2,2,1,1,0,41336,0,5
2,1,266,1,1,2,1,2,1,2,1,1,0,41326,0,11
2,1,266,2,1,2,1,2,1,2,1,1,0,41326,0,11
2,1,266,3,2,1,1,2,2,2,1,2,0,41401,0,2
1,1,307,1,1,2,2,3,3,2,1,1,0,41326,0,1
2,3,292,2,1,1,3,2,2,2,1,1,0,41336,0,4
2,3,266,3,1,1,1,2,2,2,1,3,0,41326,0,5
1,3,218,2,2,2,2,1,1,1,1,1,0,41401,0,2
