Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,PhotoAmt,AdoptionSpeed
2,3,299,1,1,1,1,2,2,2,1,1,100,41326,1,2
2,1,265,1,1,2,2,3,3,3,1,1,0,41401,2,0
1,1,307,1,2,2,2,1,1,2,1,1,0,41326,7,3
1,4,307,2,1,2,1,1,1,2,1,1,150,41401,8,2
1,1,307,1,1,2,1,2,2,2,1,1,0,41326,3,2
2,3,266,2,5,2,1,2,2,2,1,1,0,41326,2,2
2,12,264,1,1,2,3,2,2,3,1,1,300,41326,3,1
1,0,307,2,1,2,1,2,2,2,1,6,0,41326,9,3
2,2,265,2,6,2,2,2,2,2,1,1,0,41326,6,1
2,12,265,2,1,2,2,3,3,3,1,1,0,41326,2,4
1,2,307,1,1,2,1,2,1,2,1,1,0,41401,7,1
2,3,264,2,1,3,3,1,1,2,1,1,50,41326,2,1
1,2,307,1,2,2,3,1,1,2,1,1,0,41326,1,2
2,2,265,3,1,1,2,2,2,3,1,7,0,41326,1,1
1,3,307,2,2,2,2,3,3,3,1,1,0,41401,2,2
1,78,218,1,1,2,2,3,3,3,1,1,0,41326,2,4
2,6,266,2,2,1,1,1,1,1,1,1,0,41326,1,3
1,8,307,2,2,2,1,2,1,1,1,1,10,41330,2,4
1,2,307,2,1,2,1,2,1,2,1,1,0,41401,8,2
2,1,266,3,1,1,1,2,2,2,1,5,0,41326,1,4
1,12,307,2,2,2,2,2,1,1,1,1,0,41326,7,2
1,3,307,2,6,2,1,2,1,2,1,3,0,41326,5,4
2,0,114,3,3,2,2,2,2,3,1,10,0,41401,0,4
1,10,307,2,1,2,2,1,1,1,1,1,0,41326,0,4
2,3,266,1,2,1,1,2,1,2,1,1,0,41401,19,1
2,36,285,1,3,3,2,1,1,1,1,1,0,41326,3,2
2,2,285,1,3,2,2,2,2,2,1,1,0,41401,11,1
2,1,266,2,1,2,1,2,2,2,1,1,0,41326,2,2
1,14,189,1,1,3,1,1,1,2,1,1,1,41326,0,3
2,1,266,2,2,1,1,2,1,2,1,1,0,41327,1,2
1,4,205,3,2,1,2,1,1,1,1,2,0,41326,5,3
2,1,266,1,1,1,1,2,2,2,1,1,0,41361,1,1
1,24,307,1,5,2,1,1,1,2,1,5,0,41326,1,4
2,4,266,2,1,1,1,2,2,2,1,2,0,41326,7,3
2,3,266,2,1,1,1,1,2,2,1,1,1,41327,5,4
2,12,264,2,6,2,3,2,2,2,1,1,0,41326,5,1
2,24,265,2,1,2,2,1,1,3,1,3,0,41326,2,4
2,2,265,2,2,1,2,2,2,2,1,1,0,41326,3,1
1,12,307,1,1,2,1,2,2,2,1,1,0,41336,4,1
1,12,307,1,5,2,2,1,1,2,1,1,0,41326,1,3
2,2,265,2,7,2,2,2,1,2,1,1,0,41326,13,3
2,1,266,3,1,1,1,2,2,2,1,3,0,41326,1,2
2,24,292,2,7,2,3,3,3,3,2,6,0,41326,1,1
1,5,128,1,7,2,1,1,1,1,1,1,0,41401,6,3
1,12,307,1,2,2,2,2,1,1,1,1,0,41336,2,4
1,4,307,1,1,2,1,2,2,2,1,2,0,41326,11,4
2,5,265,1,4,1,3,1,1,2,1,1,0,41326,13,3
1,72,307,2,2,2,1,1,1,1,1,1,0,41326,3,4
1,1,307,3,1,2,1,3,3,2,1,9,0,41326,3,3
2,60,264,1,1,3,3,1,1,1,1,1,0,41326,3,2
1,1,307,2,1,2,2,2,1,1,1,2,0,41326,13,3
2,6,266,1,1,2,1,1,1,1,1,1,100,41401,1,4
1,2,307,1,2,2,1,1,1,2,1,1,0,41326,3,3
1,12,307,2,2,2,2,1,1,1,1,2,0,41326,5,4
1,3,307,2,2,1,1,3,3,3,2,1,0,41326,0,3
2,3,265,3,4,1,2,1,1,2,1,2,0,41401,15,2
2,5,266,1,1,2,1,2,1,2,1,1,30,41326,4,4
1,24,307,2,5,2,2,1,1,1,1,1,0,41326,2,2
1,4,307,1,5,3,2,2,2,2,1,1,0,41326,3,1
2,2,243,3,1,1,1,3,3,3,1,6,0,41401,1,4
2,1,266,2,4,2,1,2,2,2,1,1,0,41326,5,1
1,9,307,1,2,2,1,1,1,3,1,1,0,41327,2,4
1,60,307,2,2,2,1,2,2,1,1,1,0,41326,2,4
1,2,307,1,1,2,2,2,2,2,1,1,0,41327,5,2
1,2,213,3,1,2,3,1,1,2,1,7,0,41326,21,3
1,48,205,2,2,2,2,1,1,2,1,1,0,41326,5,1
2,3,266,2,2,2,1,2,2,2,1,1,0,41324,1,4
2,4,266,1,1,1,1,2,1,2,1,2,0,41401,1,2
2,9,266,2,2,2,1,2,2,2,1,1,0,41401,1,2
1,62,307,1,1,2,2,1,1,1,1,1,0,41401,3,4
